metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_failed,1751530203,0.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
checks,1751530203,1.000000,payment callback success,,,,::Payment Callback,,,,default,,,,,,,
group_duration,1751530203,41.826000,,,,,::Payment Callback,,,,default,,,,,,,
data_sent,1751530203,1360.000000,,,,,,,,,default,,,,,,,
data_received,1751530203,4874.000000,,,,,,,,,default,,,,,,,
iteration_duration,1751530203,404.390000,,,,,,,,,default,,,,,,,
iterations,1751530203,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_duration,1751530203,57.716300,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_blocked,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_connecting,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
